Country,Total #Delta G/478K.V1 (B.1.617.2),Number Delta G/478K.V1 (B.1.617.2) in past 4 weeks,Percent Delta G/478K.V1 (B.1.617.2) in past 4 weeks
United Kingdom,"57,664","39,324",89.7
India,"6,656",34,24.8
USA,"3,564",916,15.1
Germany,"1,278",539,10
Singapore,823,245,92.5
Canada,782,0,0
Spain,509,267,18.4
Russia,434,188,87.4
Italy,396,170,16.3
Belgium,368,176,9.7
Portugal,343,227,46.2
France,285,122,8.2
Denmark,248,145,3.8
Indonesia,246,152,85.9
Ireland,205,31,14.8
Japan,197,23,23.7
Australia,196,47,35.3
Sweden,167,105,12.1
Switzerland,165,78,6.6
Netherlands,132,37,1.8
Finland,126,0,0
Israel,113,25,41
Mexico,95,47,9.9
Thailand,94,0,0
Bangladesh,89,32,91.4
Norway,89,17,4.2
Poland,80,5,1.4
Vietnam,72,0,0
Luxembourg,52,0,0
Nepal,38,0,0
Kenya,37,4,44.4
Bahrain,35,5,83.3
Qatar,29,0,0
Czech Republic,26,0,0
South Africa,25,0,0
Romania,22,2,6.7
Austria,22,14,7.1
Malaysia,21,1,11.1
South Korea,20,1,100
China,14,0,0
Malawi,14,0,0
New Zealand,13,0,0
Cambodia,13,12,14.8
Brazil,12,0,0
Philippines,12,0,0
Iran,11,0,0
Greece,10,0,0
Pakistan,9,0,0
United States,7,5,31.2
Sri Lanka,6,2,9.1
Democratic Republic of the Congo,6,0,0
Slovenia,6,0,0
Botswana,5,0,0
Angola,4,0,0
Usa,4,0,0
Lithuania,4,2,1
Uganda,4,0,0
Myanmar,4,4,44.4
Georgia,4,0,0
Guadeloupe,3,0,0
Aruba,3,0,0
Barbados,3,0,0
Peru,2,1,33.3
Turkey,2,0,0
Ghana,2,0,0
Mauritius,2,0,0
Reunion,2,0,0
Senegal,2,0,0
Anguilla,1,0,0
Argentina,1,0,0
Sint Maarten,1,0,0
Morocco,1,0,0
Malta,1,0,0
Bulgaria,1,0,0
Jordan,1,0,0
Kuwait,1,1,6.2
Guam,1,0,0
