Country,Total #Gamma GR/501Y.V3 (P.1),Number Gamma GR/501Y.V3 (P.1) in past 4 weeks,Percent Gamma GR/501Y.V3 (P.1) in past 4 weeks
USA,"16,831",882,13
Brazil,"11,279",149,96.8
Canada,"6,264",0,0
Belgium,"1,398",162,9.6
Chile,985,93,61.2
Mexico,961,374,39.1
Spain,702,54,3.8
Netherlands,506,41,2.3
Italy,468,54,5.5
Colombia,316,1,50
Germany,276,55,1.2
France,273,14,0.7
Argentina,233,0,0
French Guiana,225,30,100
Trinidad and Tobago,178,0,0
United States,172,0,0
Uruguay,171,0,0
United Kingdom,159,13,0
Portugal,159,12,2.5
Switzerland,156,16,1.5
Suriname,108,0,0
Japan,104,2,2
Aruba,96,35,40.7
Sweden,68,3,0.4
Paraguay,53,0,0
Luxembourg,47,0,0
Haiti,47,0,0
Denmark,42,10,0.2
Ecuador,33,10,18.2
Costa Rica,32,0,0
Ireland,27,0,0
Peru,25,0,0
Turkey,23,0,0
Malta,23,1,100
Austria,20,3,1.7
Venezuela,17,0,0
Bolivia,14,0,0
Israel,11,0,0
Czech Republic,9,1,1.3
Singapore,8,2,0.9
Australia,7,0,0
New Zealand,7,1,11.1
Norway,6,2,0.5
Curacao,6,0,0
Romania,5,0,0
Dominican Republic,5,1,33.3
Jordan,5,0,0
Poland,5,1,0.3
Taiwan,4,0,0
Usa,4,0,0
Slovenia,4,1,7.1
Lithuania,3,1,1.1
South Korea,3,0,0
China,2,0,0
Finland,2,0,0
Croatia,2,0,0
Guyana,1,0,0
Barbados,1,0,0
belgium,1,1,100
Philippines,1,0,0
Faroe Islands,1,0,0
Cayman Islands,1,1,33.3
Bangladesh,1,0,0
