"Country","Strain Name","Collection Date"
"France","hCoV-19/France/HDF-100003336341/2021","2021-06-24"
"Spain","hCoV-19/Spain/CT-HUJ23-55932/2021","2021-06-23"
"Germany","hCoV-19/Germany/BW-RKI-I-181651/2021","2021-06-23"
"Australia","hCoV-19/Australia/QLD1953/2021","2021-06-22"
"USA","hCoV-19/USA/KS-KHEL-2667/2021","2021-06-22"
"Poland","hCoV-19/Poland/PZH-NIZP-0243/2021","2021-06-21"
"Belgium","hCoV-19/Belgium/Jessa_11-2125-001030ZOL/2021","2021-06-21"
"Sweden","hCoV-19/Sweden/RVFOI21-01192/2021","2021-06-20"
"Switzerland","hCoV-19/Switzerland/VD-CHUV-GEN5414/2021","2021-06-19"
"Japan","hCoV-19/Japan/YCH0260/2021","2021-06-18"
"United Kingdom","hCoV-19/England/MILK-17173A9/2021","2021-06-17"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-40557/2021","2021-06-16"
"Mexico","hCoV-19/Mexico/MEX-INMEGEN-06-02-240/2021","2021-06-16"
"Italy","hCoV-19/Italy/SAR-Cagliari301/2021","2021-06-16"
"Norway","hCoV-19/Norway/14391/2021","2021-06-16"
"Aruba","hCoV-19/Aruba/AW-RIVM-40528/2021","2021-06-16"
"Netherlands","hCoV-19/Netherlands/NH-RIVM-40641/2021","2021-06-15"
"South Africa","hCoV-19/South Africa/KRISP-K018198/2021","2021-06-15"
"Romania","hCoV-19/Romania/IF-16144/2021","2021-06-15"
"Uganda","hCoV-19/Uganda/UG541/2021","2021-06-15"
"Denmark","hCoV-19/Denmark/DCGC-110357/2021","2021-06-14"
"Slovakia","hCoV-19/Slovakia/UKBA-3429/2021","2021-06-14"
"Cambodia","hCoV-19/Cambodia/564663/2021","2021-06-13"
"Ireland","hCoV-19/Ireland/RN-NVRL-M31IRL77774/2021","2021-06-12"
"Lithuania","hCoV-19/Lithuania/IBT-LSC-VU_r14_38/2021","2021-06-11"
"Portugal","hCoV-19/Portugal/PT8905/2021","2021-06-11"
"Croatia","hCoV-19/Croatia/6232/2021","2021-06-11"
"Czech Republic","hCoV-19/Czech Republic/36974/2021","2021-06-11"
"Sri Lanka","hCoV-19/Sri Lanka/CMC109201/2021","2021-06-10"
"Ecuador","hCoV-19/Ecuador/UEES-15318/2021","2021-06-09"
"Austria","hCoV-19/Austria/CeMM11621/2021","2021-06-09"
"Thailand","hCoV-19/Thailand/Bangkok-CONI-0794/2021","2021-06-08"
"Guadeloupe","hCoV-19/Guadeloupe/IPP14050/2021","2021-06-08"
"Reunion","hCoV-19/Reunion/HCL021109894801/2021","2021-06-08"
"Greece","hCoV-19/Greece/10140087/2021","2021-06-07"
"Singapore","hCoV-19/Singapore/1503/2021","2021-06-07"
"China","hCoV-19/Guangdong/IVDC-06-01/2021","2021-06-06"
"Bangladesh","hCoV-19/Bangladesh/icddrb-1210613013/2021","2021-06-06"
"Kuwait","hCoV-19/Kuwait/KU-43/2021","2021-06-05"
"Israel","hCoV-19/Israel/CVL-13834/2021","2021-06-05"
"Bahrain","hCoV-19/Bahrain/921009887/2021","2021-06-04"
"Kenya","hCoV-19/Kenya/C98894/2021","2021-06-03"
"Nepal","hCoV-19/Nepal/S-59/2021","2021-06-02"
"Indonesia","hCoV-19/Indonesia/JK-GSILab-495280/2021","2021-06-02"
"Slovenia","hCoV-19/Slovenia/274945/2021","2021-06-01"
"Brazil","hCoV-19/Brazil/RJ-LNN02687/2021","2021-06-01"
"Canada","hCoV-19/Canada/ON-PHL-21-20082/2021","2021-06-00"
"Chile","hCoV-19/Chile/LI-104024/2021","2021-05-31"
"Russia","hCoV-19/Russia/SPE-RII-35882S/2021","2021-05-29"
"Taiwan","hCoV-19/Taiwan/CGMH-CGU-74/2021","2021-05-29"
"Myanmar","hCoV-19/Myanmar/DSMRC012/2021","2021-05-28"
"Pakistan","hCoV-19/Pakistan/NIH-Sam12/2021","2021-05-28"
"India","hCoV-19/India/TG-CCMB-CIA3729/2021","2021-05-28"
"Malta","hCoV-19/Malta/MDxMDH474/2021","2021-05-26"
"Finland","hCoV-19/Finland/THL-202118481/2021","2021-05-25"
"Luxembourg","hCoV-19/Luxembourg/LNS9476072/2021","2021-05-25"
"Martinique","hCoV-19/Martinique/IPP13676/2021","2021-05-25"
"Turkey","hCoV-19/Turkey/HSGM-B14417/2021","2021-05-25"
"Usa","hCoV-19/USA/IL-C21WGS1253/2021","2021-05-25"
"Colombia","hCoV-19/Colombia/ANT-CWOHC-VG-SEC00863E/2021","2021-05-25"
"Costa Rica","hCoV-19/Costa Rica/INC-0661/2021","2021-05-24"
"United States","hCoV-19/USA/NY-UB-KHL-00305/2021","2021-05-24"
"Qatar","hCoV-19/Qatar/DA-USAFSAM-S3139/2021","2021-05-23"
"New Zealand","hCoV-19/New Zealand/21CH0030/2021","2021-05-23"
"French Guiana","hCoV-19/French Guiana/IPG2021477/2021","2021-05-22"
"Bonaire","hCoV-19/Bonaire/BQ-RIVM-39085/2021","2021-05-22"
"Barbados","hCoV-19/Barbados/71162/2021","2021-05-21"
"Rwanda","hCoV-19/Rwanda/NRLNAT4060/2021","2021-05-21"
"Mayotte","hCoV-19/Mayotte/IPP13559/2021","2021-05-21"
"South Korea","hCoV-19/South Korea/KDCA3858/2021","2021-05-20"
"Curacao","hCoV-19/Curacao/CW-RIVM-36932/2021","2021-05-19"
"Haiti","hCoV-19/Haiti/27711/2021","2021-05-19"
"Egypt","hCoV-19/Egypt/CCHE57357_Wave_3_A013/2021","2021-05-17"
"Bulgaria","hCoV-19/Bulgaria/21BG-EU_003312_Pl29/2021","2021-05-17"
