"Country","Strain Name","Collection Date"
"France","hCoV-19/France/HDF-1160049032/2021","2021-06-24"
"Reunion","hCoV-19/Reunion/CHU_7210606875/2021","2021-06-19"
"Germany","hCoV-19/Germany/HE-RKI-I-181647/2021","2021-06-17"
"South Africa","hCoV-19/South Africa/KRISP-K018212/2021","2021-06-17"
"Australia","hCoV-19/Australia/NSW4766/2021","2021-06-17"
"Botswana","hCoV-19/Botswana/R18B12_BHP_AAB64667/2021","2021-06-16"
"Singapore","hCoV-19/Singapore/1540/2021","2021-06-15"
"Japan","hCoV-19/Japan/IC-1372/2021","2021-06-13"
"Spain","hCoV-19/Spain/IB-HUSE-00973/2021","2021-06-12"
"Switzerland","hCoV-19/Switzerland/VD-CHUV-GEN5375/2021","2021-06-12"
"United Kingdom","hCoV-19/England/MILK-1697603/2021","2021-06-11"
"Belgium","hCoV-19/Belgium/ULG-16423/2021","2021-06-10"
"Czech Republic","hCoV-19/Czech Republic/202852-21w/2021","2021-06-10"
"USA","hCoV-19/USA/CA-CDC-ASC210108515/2021","2021-06-09"
"Austria","hCoV-19/Austria/CeMM11430/2021","2021-06-08"
"Poland","hCoV-19/Poland/0875WSN2021_wsseol/2021","2021-06-07"
"Malaysia","hCoV-19/Malaysia/IMR_115156/2021","2021-06-07"
"Denmark","hCoV-19/Denmark/DCGC-117272/2021","2021-06-07"
"Sweden","hCoV-19/Sweden/21-54240/2021","2021-06-04"
"China","hCoV-19/Hong Kong/CM21000379/2021","2021-06-04"
"Indonesia","hCoV-19/Indonesia/JK_GSILab-495294/2021","2021-06-02"
"Portugal","hCoV-19/Portugal/PT8424/2021","2021-06-02"
"Italy","hCoV-19/Italy/VEN-IZSVe-21RS1452-39_TV/2021","2021-06-01"
"Canada","hCoV-19/Canada/ON-PHL-21-19767/2021","2021-06-00"
"Kenya","hCoV-19/Kenya/C98717/2021","2021-05-31"
"Cambodia","hCoV-19/Cambodia/529315/2021","2021-05-31"
"Norway","hCoV-19/Norway/13524/2021","2021-05-29"
"India","hCoV-19/India/TG-CCMB-CIA3713/2021","2021-05-28"
"Israel","hCoV-19/Israel/CVL-13752/2021","2021-05-28"
"Slovakia","hCoV-19/Slovakia/UVZ_PL19_D6_11803/2021","2021-05-27"
"Netherlands","hCoV-19/Netherlands/UT-RIVM-37466/2021","2021-05-27"
"Bangladesh","hCoV-19/Bangladesh/IEDCR-OIS-145/2021","2021-05-27"
"Rwanda","hCoV-19/Rwanda/NRLNAT4058/2021","2021-05-27"
"Pakistan","hCoV-19/Pakistan/NIH-Sam2/2021","2021-05-26"
"Romania","hCoV-19/Romania/B-15014/2021","2021-05-26"
"Thailand","hCoV-19/Thailand/Narathiwat-CONI-0801/2021","2021-05-25"
"Guadeloupe","hCoV-19/Guadeloupe/IPP13835/2021","2021-05-25"
"Turkey","hCoV-19/Turkey/HSGM-B13565/2021","2021-05-24"
"Chile","hCoV-19/Chile/RM-98045/2021","2021-05-22"
"Luxembourg","hCoV-19/Luxembourg/LNS2890920/2021","2021-05-22"
"Finland","hCoV-19/Finland/THL-202118430/2021","2021-05-21"
"New Zealand","hCoV-19/New Zealand/21MV0452/2021","2021-05-20"
"Qatar","hCoV-19/Qatar/QA.QU_18.14.C11/2021","2021-05-18"
"Mexico","hCoV-19/Mexico/CAM-InDRE_FB16257_S2727/2021","2021-05-16"
"Russia","hCoV-19/Russia/SPE-RII-MH18540S/2021","2021-05-13"
"United States","hCoV-19/USA/NY-UB-ECMC-00005/2021","2021-05-07"
"Costa Rica","hCoV-19/Costa Rica/INC-0678/2021","2021-05-04"
"Croatia","hCoV-19/Croatia/5175/2021","2021-05-00"
"Greece","hCoV-19/Greece/196261/2021","2021-04-29"
"Martinique","hCoV-19/Martinique/IPP11614/2021","2021-04-28"
"United Arab Emirates","hCoV-19/United Arab Emirates/AZ-USAFSAM-S3096/2021","2021-04-27"
"Philippines","hCoV-19/Taiwan/TSGH-41/2021","2021-04-26"
"Guam","hCoV-19/USA/GU-CDC-2-4356420/2021","2021-04-25"
"Argentina","hCoV-19/Argentina/INEI104258/2021","2021-04-24"
"Tunisia","hCoV-19/Tunisia/29100/2021","2021-04-24"
"Estonia","hCoV-19/Estonia/15572186/2021","2021-04-23"
"Angola","hCoV-19/Angola/CERI-KRISP-K014908/2021","2021-04-22"
"Mozambique","hCoV-19/Mozambique/CERI-KRISP-K018292/2021","2021-04-22"
"Malta","hCoV-19/Malta/MDxMDH385/2021","2021-04-21"
"Democratic Republic of the Congo","hCoV-19/DRC/298978/2021","2021-04-20"
"Ireland","hCoV-19/Ireland/LK-NVRL-21IRL49503/2021","2021-04-19"
"Jordan","hCoV-19/Jordan/AM-Biolab021/2021","2021-04-18"
"South Korea","hCoV-19/South Korea/KDCA3292/2021","2021-04-17"
"Malawi","hCoV-19/Malawi/CERI-KRISP-K015198/2021","2021-04-16"
"Saudi Arabia","hCoV-19/Saudi Arabia/KFSHRC10/2021","2021-04-15"
"Colombia","hCoV-19/Colombia/ANT-CWOHC-VG-SEC00336X/2021","2021-04-13"
"Aruba","hCoV-19/Aruba/AW-RIVM-26456/2021","2021-04-10"
"Bahrain","hCoV-19/Bahrain/341841125/2021","2021-04-09"
"Djibouti","hCoV-19/Djibouti/NAMRU3-F171/2021","2021-04-09"
"Lithuania","hCoV-19/Lithuania/VUC36671/2021","2021-04-09"
"Ghana","hCoV-19/Ghana/WACCBIP-TRA664/2020","2021-04-08"
"French Guiana","hCoV-19/French Guiana/IPG2021124/2021","2021-04-07"
"Slovenia","hCoV-19/Slovenia/08-089775-MB/2021","2021-04-06"
"Brazil","hCoV-19/Brazil/SP-IB_100620/2021","2021-04-05"
"Iran","hCoV-19/Iran/S013/2021","2021-04-03"
"Uganda","hCoV-19/Uganda/UG466/2021","2021-04-02"
"Equatorial Guinea","hCoV-19/Equatorial Guinea/78388/2021","2021-04-01"
"Suriname","hCoV-19/Suriname/SR-156/2021","2021-03-31"
"Sri Lanka","hCoV-19/Sri Lanka/NR28/2021","2021-03-26"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-23208/2021","2021-03-24"
"Latvia","hCoV-19/Latvia/1611/2021","2021-03-24"
"Eswatini","hCoV-19/Eswatini/N4805/2021","2021-03-23"
"Mauritius","hCoV-19/Mauritius/N4618/2021","2021-03-12"
"North Macedonia","hCoV-19/North Macedonia/15900/2021","2021-03-10"
"Cote d'Ivoire","hCoV-19/Cote d'Ivoire/BKE2486-bc56/2021","2021-03-06"
"Cameroon","hCoV-19/Cameroon/CAM-10/2021","2021-03-01"
"Zimbabwe","hCoV-19/Zimbabwe/CERI-KRISP-K011540/2021","2021-02-26"
"Iraq","hCoV-19/Iraq/Samawa-52/2021","2021-02-26"
"Gabon","hCoV-19/Gabon/AP264/2021","2021-02-21"
"Togo","hCoV-19/Togo/TGS20/2021","2021-02-05"
"Zambia","hCoV-19/Zambia/RC-232/2021","2021-02-03"
