Country,Strain Name,Collection Date
Australia,hCoV-19/Australia/NSW4775/2021,6/22/2021
Italy,hCoV-19/Italy/EMR-UOM-PVS_9378428001/2021,6/20/2021
Japan,hCoV-19/Japan/YCH0253/2021,6/20/2021
Belgium,hCoV-19/Belgium/AZKLINA121-145126/2021,6/19/2021
Switzerland,hCoV-19/Switzerland/SG-CLM-06195214/2021,6/19/2021
USA,hCoV-19/USA/MT-MTPHL-3824257/2021,6/18/2021
United Kingdom,hCoV-19/England/PLYM-1719310/2021,6/17/2021
Spain,hCoV-19/Spain/CT-HUGTiPR021PB7H9/2021,6/17/2021
Indonesia,hCoV-19/Indonesia/JK-GSILab-511121/2021,6/17/2021
Germany,hCoV-19/Germany/NW-RKI-I-178843/2021,6/17/2021
Singapore,hCoV-19/Singapore/1567/2021,6/16/2021
Denmark,hCoV-19/Denmark/DCGC-117496/2021,6/14/2021
Sweden,hCoV-19/Sweden/SUS0002420/2021,6/13/2021
Netherlands,hCoV-19/Netherlands/OV-GD-8245006/2021,6/13/2021
Norway,hCoV-19/Norway/Ahus-668/2021,6/13/2021
Cambodia,hCoV-19/Cambodia/KP-1117/2021,6/12/2021
Portugal,hCoV-19/Portugal/PT8933/2021,6/11/2021
Sri Lanka,hCoV-19/Sri Lanka/CMC118892/2021,6/11/2021
Austria,hCoV-19/Austria/KILM574/2021,6/11/2021
France,hCoV-19/France/IDF-HMN-21062140117/2021,6/10/2021
Russia,hCoV-19/Russia/MOW-RII-MH20161S/2021,6/10/2021
Peru,hCoV-19/Peru/ARE-INS-1135/2021,6/10/2021
Lithuania,hCoV-19/Lithuania/IBT-LSC-VU_r14_05/2021,6/8/2021
India,hCoV-19/India/MH-ICMR-NIV-INSACOG-2019nCoV-319679/2021,6/7/2021
United States,hCoV-19/USA/TX-HHD-210615KVI5553/2021,6/7/2021
Bangladesh,hCoV-19/Bangladesh/icddrb-067254/2021,6/6/2021
Bahrain,hCoV-19/Bahrain/342005905/2021,6/5/2021
Israel,hCoV-19/Israel/CVL-13823/2021,6/4/2021
Mexico,hCoV-19/Mexico/ROO-INMEGEN-06-01-310/2021,6/4/2021
Ireland,hCoV-19/Ireland/U-NVRL-21IRL64301/2021,6/3/2021
Kenya,hCoV-19/Kenya/C98976/2021,6/3/2021
Kuwait,hCoV-19/Kuwait/JAH000091/2021,6/3/2021
Romania,hCoV-19/Romania/B-15389/2021,6/2/2021
Myanmar,hCoV-19/Myanmar/DSMRC018/2021,6/1/2021
Canada,hCoV-19/Canada/ON-PHL-21-20201/2021,2021-06-00
Poland,hCoV-19/Poland/NIPH-NIH_ECDC-6458/2021,5/31/2021
South Korea,hCoV-19/South Korea/KDCA4629/2021,5/28/2021
Malaysia,hCoV-19/Malaysia/IMR_155081/2021,5/28/2021
Thailand,hCoV-19/Thailand/DMSc-00681/2021,5/27/2021
Slovenia,hCoV-19/Slovenia/269556/2021,5/27/2021
Pakistan,hCoV-19/Pakistan/NIH-Sam3/2021,5/27/2021
South Africa,hCoV-19/South Africa/NHLS-UCT-GS-B937/2021,5/26/2021
Guadeloupe,hCoV-19/Guadeloupe/IPP13827/2021,5/25/2021
Finland,hCoV-19/Finland/THL-202118428/2021,5/24/2021
Turkey,hCoV-19/Turkey/HSGM-B13638/2021,5/24/2021
Brazil,hCoV-19/Brazil/RJ-FIOCRUZ-25683/2021,5/24/2021
Luxembourg,hCoV-19/Luxembourg/LNS1871776/2021,5/22/2021
Vietnam,hCoV-19/Vietnam/HCMC-05109069-05/2021,5/21/2021
Malta,hCoV-19/Malta/MDxMDH462/2021,5/19/2021
Qatar,hCoV-19/Qatar/QA.QU_18.14.B6/2021,5/18/2021
Reunion,hCoV-19/Reunion/CHU_7210509854/2021,5/18/2021
New Zealand,hCoV-19/New Zealand/21MV0425/2021,5/18/2021
Georgia,hCoV-19/Georgia/Tb-SNGS129/2021,5/15/2021
Czech Republic,hCoV-19/Czech Republic/NRL_7717/2021,5/14/2021
Usa,hCoV-19/USA/IL-C21WGS1130/2021,5/12/2021
China,hCoV-19/Hong Kong/VM21025593/2021,5/12/2021
Iran,hCoV-19/Iran/S1215/2021,5/11/2021
Nepal,hCoV-19/Nepal/S-20/2021,5/10/2021
Botswana,hCoV-19/Botswana/R14B1_BHP_AAB39500/2021,5/10/2021
Mauritius,hCoV-19/Mauritius/104671/2021,5/8/2021
Philippines,hCoV-19/Philippines/PH-PGC-44860/2021,5/7/2021
Greece,hCoV-19/Greece/198072/2021,5/7/2021
Senegal,hCoV-19/Senegal/SN-IR2-0019063/2021,5/6/2021
Angola,hCoV-19/Angola/CERI-KRISP-K015459/2021,5/5/2021
Barbados,hCoV-19/Barbados/67294/2021,5/4/2021
Democratic Republic of the Congo,hCoV-19/DRC/16313/2021,5/3/2021
Malawi,hCoV-19/Malawi/CERI-KRISP-K015290/2021,4/30/2021
Sint Maarten,hCoV-19/Sint Maarten/SX-RIVM-33603/2021,4/30/2021
Uganda,hCoV-19/Uganda/UG467/2021,4/26/2021
Jordan,hCoV-19/Jordan/IR-Biolab041/2021,4/26/2021
Guam,hCoV-19/USA/GU-CDC-2-4356532/2021,4/26/2021
Argentina,hCoV-19/Argentina/INEI104264/2021,4/24/2021
Aruba,hCoV-19/Aruba/AW-RIVM-29740/2021,4/22/2021
Morocco,hCoV-19/Morocco/CNRST-IND01/2021,4/22/2021
Anguilla,hCoV-19/Anguilla/64390/2021,4/20/2021
Ghana,hCoV-19/Ghana/WACCBIP-TRA723/2020,4/20/2021
Bulgaria,hCoV-19/Bulgaria/21BG-NC_002718_R11/2021,4/5/2021
