"Country","Strain Name","Collection Date"
"France","hCoV-19/France/HDF-1158047561/2021","2021-06-24"
"Spain","hCoV-19/Spain/CT-HUJ23-20877/2021","2021-06-23"
"USA","hCoV-19/USA/NE-NCOV21-23380/2021","2021-06-22"
"Ecuador","hCoV-19/Ecuador/USFQ-1560/2021","2021-06-18"
"Mexico","hCoV-19/Mexico/CMX-INMEGEN-06-02-363/2021","2021-06-17"
"Belgium","hCoV-19/Belgium/ULG-16484/2021","2021-06-17"
"Cayman Islands","hCoV-19/Cayman Islands/26625/2021","2021-06-17"
"Germany","hCoV-19/Germany/BW-RKI-I-181521/2021","2021-06-17"
"Italy","hCoV-19/Italy/SAR-Cagliari305/2021","2021-06-16"
"Netherlands","hCoV-19/Netherlands/NH-RIVM-40647/2021","2021-06-15"
"Denmark","hCoV-19/Denmark/DCGC-111285/2021","2021-06-14"
"Switzerland","hCoV-19/Switzerland/SG-CLM-06140397/2021","2021-06-14"
"Malta","hCoV-19/Malta/MDxMDH475/2021","2021-06-13"
"Brazil","hCoV-19/Brazil/GO-HLAGYN-1713549/2021","2021-06-13"
"Aruba","hCoV-19/Aruba/AW-RIVM-40519/2021","2021-06-13"
"Japan","hCoV-19/Japan/IC-1360/2021","2021-06-13"
"Portugal","hCoV-19/Portugal/PT8935/2021","2021-06-11"
"Singapore","hCoV-19/Singapore/1545/2021","2021-06-11"
"French Guiana","hCoV-19/French Guiana/IPG2021538/2021","2021-06-11"
"Poland","hCoV-19/Poland/PZH-GUM-1629/2021","2021-06-10"
"Dominican Republic","hCoV-19/Dominican Republic/UNIBE005/2021","2021-06-10"
"United Kingdom","hCoV-19/England/MILK-167A84C/2021","2021-06-10"
"Czech Republic","hCoV-19/Czech Republic/NRL_8834/2021","2021-06-09"
"belgium","hCoV-19/Belgium/AZKLINA121-135278/2021","2021-06-09"
"Norway","hCoV-19/Norway/Ahus-651/2021","2021-06-06"
"Chile","hCoV-19/Chile/RM-105570/2021","2021-06-04"
"Sweden","hCoV-19/Sweden/3888453242/2021","2021-06-02"
"Austria","hCoV-19/Austria/CeMM11162/2021","2021-06-01"
"Colombia","hCoV-19/Colombia/ANT-CWOHC-VG-SEC00928R/2021","2021-06-01"
"Canada","hCoV-19/Canada/ON-PHL-21-19707/2021","2021-06-00"
"New Zealand","hCoV-19/New Zealand/21MV0468/2021","2021-05-31"
"Lithuania","hCoV-19/Lithuania/IBT-LSC-VU_r13_11/2021","2021-05-31"
"Slovenia","hCoV-19/Slovenia/274299/2021","2021-05-31"
"Curacao","hCoV-19/Curacao/CW-RIVM-39814/2021","2021-05-28"
"Ireland","hCoV-19/Ireland/WW-NVRL-21IRL63003/2021","2021-05-27"
"Venezuela","hCoV-19/Venezuela/Dtt292/2021","2021-05-26"
"Suriname","hCoV-19/Suriname/SR-299/2021","2021-05-25"
"Trinidad and Tobago","hCoV-19/Trinidad and Tobago/70645/2021","2021-05-25"
"Finland","hCoV-19/Finland/THL-202118391/2021","2021-05-23"
"Barbados","hCoV-19/Barbados/71163/2021","2021-05-22"
"Luxembourg","hCoV-19/Luxembourg/LNS8988243/2021","2021-05-21"
"Costa Rica","hCoV-19/Costa Rica/INC-0666/2021","2021-05-21"
"Usa","hCoV-19/USA/IL-C21WGS1243/2021","2021-05-20"
"Haiti","hCoV-19/Haiti/27721/2021","2021-05-20"
"Israel","hCoV-19/Israel/CVL-13614/2021","2021-05-16"
"Argentina","hCoV-19/Argentina/PAIS-G0243/2021","2021-05-12"
"Bolivia","hCoV-19/Bolivia/Sucre-GM2-4/2021","2021-05-10"
"United States","hCoV-19/USA/IL-RED-WOO-41392501/2021","2021-05-08"
"Paraguay","hCoV-19/Paraguay/iics_12532/2021","2021-05-04"
"Jordan","hCoV-19/Jordan/AZ-Biolab039/2021","2021-04-28"
"Romania","hCoV-19/Romania/B-12058/2021","2021-04-27"
"Australia","hCoV-19/Australia/NSW-R0227/2021","2021-04-25"
"Croatia","hCoV-19/Croatia/3875/2021","2021-04-19"
"China","hCoV-19/Guangdong/IVDC-05-01/2021","2021-04-17"
"Uruguay","hCoV-19/Uruguay/UY-NYULH2088/2021","2021-04-15"
"South Korea","hCoV-19/South Korea/KDCA2947/2021","2021-04-03"
"Turkey","hCoV-19/Turkey/HSGM-15505/2021","2021-03-29"
"Peru","hCoV-19/Peru/un-CDC-2-4069938/2021","2021-02-22"
"Philippines","hCoV-19/Philippines/PH-PGC-06816/2021","2021-02-21"
"Bangladesh","hCoV-19/Bangladesh/BCSIR-DNAS-15/2021","2021-02-18"
"Taiwan","hCoV-19/Taiwan/CGMH-CGU-56/2021","2021-01-28"
"Guyana","hCoV-19/Guyana/50827/2021","2021-01-18"
"Faroe Islands","hCoV-19/Faroe Islands/HFS-193/2021","2021-01-12"
